nom,type,ville,description,image_monument_url,lien_wikipedia,image_ville_url
Hassan Tower,musée,Rabat,"Hassan Tower or Tour Hassan (Arabic: صومعة حسان; is the minaret of an incomplete mosque in Rabat, Morocco. It was commissioned by Abu Yusuf Yaqub al-Mansur, the third caliph of the Almohad Caliphate, near the end of the 12th century. The tower was intended to be the largest minaret in the world, and the mosque, if completed, would have been the largest in the western Muslim world. When al-Mansur died in 1199, construction on the mosque stopped. The minaret was left standing at a height of 44 meters. The rest of the mosque was also left incomplete, with only the beginnings of several walls and 348 columns being constructed. The tower, along with the remains of the mosque and the modern Mausoleum of Mohammed V, forms an important historical and tourist complex in Rabat.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Hassan_Tower%2C_Rabat%2C_Marocco_%28%D8%B5%D9%88%D9%85%D8%B9%D8%A9_%D8%AD%D8%B3%D8%A7%D9%86_%29.jpg/330px-Hassan_Tower%2C_Rabat%2C_Marocco_%28%D8%B5%D9%88%D9%85%D8%B9%D8%A9_%D8%AD%D8%B3%D8%A7%D9%86_%29.jpg,https://en.wikipedia.org/wiki/Hassan_Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
Rabati Malik,musée,Rabat,"Rabati Malik, also called Ribat-i Malik, is a caravanserai ruin located on the M37 road from Samarkand to Bukhara about a kilometer west of the edge of Malik, Navoiy Province, Uzbekistan. It was constructed along the Silk Road according to the orders of Karakhanid Shams al-Mulk Nasr, son of Tamgachkhan Ibragim, who ruled in Samarkand from 1068 until 1080.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Rabat-i_Malik_caravanserai_2_%28cropped_and_retouched%29.jpg/330px-Rabat-i_Malik_caravanserai_2_%28cropped_and_retouched%29.jpg,https://en.wikipedia.org/wiki/Rabati_Malik,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
Kasbah of the Udayas,musée,Rabat,"The Kasbah of the Udayas, also spelled Kasbah of the Oudaias or of the Oudayas, is a kasbah (citadel) in Rabat, Morocco. It is located on a hill at the mouth of the Bou Regreg opposite Salé, and adjacent to the Medina quarter of Rabat. It is listed, along with other sites in Rabat, as a UNESCO World Heritage Site.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Kasbah_Oudayas_exterior.jpg/330px-Kasbah_Oudayas_exterior.jpg,https://en.wikipedia.org/wiki/Kasbah_of_the_Udayas,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
Anton Agius,musée,Rabat,"Anton Agius (1933–2008) was a Maltese sculptor, best known for creating a large number of monuments around Malta. He was dubbed ""the national sculptor"" by former Maltese president Ugo Mifsud Bonnici.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Memorial_to_Anton_Agius_in_Pjazza_Anton_Agius%2C_Rabat_%28Malta%29.jpg/330px-Memorial_to_Anton_Agius_in_Pjazza_Anton_Agius%2C_Rabat_%28Malta%29.jpg,https://en.wikipedia.org/wiki/Anton_Agius,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
Almoravid Qubba,musée,Rabat,"The Almoravid Qubba, also known as the Qubbat al-Ba'diyyin or Qubbat al-Barudiyyin, is a small monument in Marrakesh, Morocco. It was erected by the Almoravid dynasty in the early 12th century. It is notable for its extraordinary decoration and for being one of the only remnants of Almoravid architecture in Marrakesh.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Almoravid_Qubba_IMG_5629.jpg/330px-Almoravid_Qubba_IMG_5629.jpg,https://en.wikipedia.org/wiki/Almoravid_Qubba,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
"French Protectorate Residence, Rabat",musée,Rabat,"The French Protectorate Residence also known as Residence-general or Residence of Lyautey, is a historic building in Rabat, Morocco. It was the seat of the Resident-general in the French protectorate in Morocco from its completion in 1924 to the end of the protectorate in 1956.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/ETH-BIB-Rabat%2C_R%C3%A9sidence_g%C3%A9n%C3%A9rale%2C_Hauptfront-Dia_247-04950.tif/lossy-page1-320px-ETH-BIB-Rabat%2C_R%C3%A9sidence_g%C3%A9n%C3%A9rale%2C_Hauptfront-Dia_247-04950.tif.jpg,https://en.wikipedia.org/wiki/French_Protectorate_Residence%2C_Rabat,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
Mausoleum,musée,Rabat,"A mausoleum is an external free-standing building constructed as a monument enclosing the burial chamber of a deceased person or people. A mausoleum without the person's remains is called a cenotaph. A mausoleum may be considered a type of tomb, or the tomb may be considered to be within the mausoleum.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Mausoleum_at_Halicarnassus_at_the_Bodrum_Museum_of_Underwater_Archaeology.jpg/330px-Mausoleum_at_Halicarnassus_at_the_Bodrum_Museum_of_Underwater_Archaeology.jpg,https://en.wikipedia.org/wiki/Mausoleum,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
Wignacourt Museum,musée,Rabat,"The Wignacourt Museum is a museum in Rabat, Malta. It is housed in an 18th-century Baroque building which housed the Chaplains of the Order of St. John, and it is named after Grand Master Alof de Wignacourt, who ruled over the Maltese Islands between 1601 and 1622.",https://upload.wikimedia.org/wikipedia/en/4/4c/Wignacourt_Museum_coat_of_arms.jpg,https://en.wikipedia.org/wiki/Wignacourt_Museum,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
Ben Salah Mosque,musée,Marrakech,"The Ben Salah Mosque or Ben Saleh Mosque is a 14th-century Marinid mosque in the historic medina of Marrakesh, Morocco. It is the only major surviving Marinid-era monument in Marrakesh and is notable for its fine minaret.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Ben_Salah_Mosque.jpg/330px-Ben_Salah_Mosque.jpg,https://en.wikipedia.org/wiki/Ben_Salah_Mosque,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
Almoravid Qubba,musée,Marrakech,"The Almoravid Qubba, also known as the Qubbat al-Ba'diyyin or Qubbat al-Barudiyyin, is a small monument in Marrakesh, Morocco. It was erected by the Almoravid dynasty in the early 12th century. It is notable for its extraordinary decoration and for being one of the only remnants of Almoravid architecture in Marrakesh.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Almoravid_Qubba_IMG_5629.jpg/330px-Almoravid_Qubba_IMG_5629.jpg,https://en.wikipedia.org/wiki/Almoravid_Qubba,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
Bahia Palace,musée,Marrakech,"The Bahia Palace is a mid to late 19th-century palace in Marrakesh, Morocco. The palace was first begun by Si Musa, grand vizier under the Alawi sultan Muhammad ibn Abd al-Rahman, in the 1860s. It was expanded by his son Si Ba Ahmed ibn Musa, grand vizier of Sultan Moulay Abdelaziz, between 1894 and 1900. Today it is a well-known historic monument and tourist attraction in the city.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Bahia_Palace_large_court.jpg/330px-Bahia_Palace_large_court.jpg,https://en.wikipedia.org/wiki/Bahia_Palace,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
Marrakesh,musée,Marrakech,Marrakesh or Marrakech is the fourth-largest city in Morocco. It is one of the four imperial cities of Morocco and is the capital of the Marrakesh–Safi region. The city lies west of the foothills of the Atlas Mountains.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg,https://en.wikipedia.org/wiki/Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
Seven Saints of Marrakesh,musée,Marrakech,"The Seven Saints of Marrakesh or Patron Saints of Marrakesh are seven historical Muslim figures buried in Marrakesh, Morocco. Each of them was a famous Muslim jurisprudent, scholar or wali venerated for their piety or other mystical attributes. Their tombs form the basis of a centuries-old annual pilgrimage or ziyara, during which visitors pray at each of their tombs over seven days.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/%D8%A3%D8%B6%D8%B1%D8%AD%D8%A9_%D8%A7%D9%84%D8%B1%D8%AC%D8%A7%D9%84_%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D8%A9_%D8%A8%D9%85%D8%B1%D8%A7%D9%83%D8%B4.jpg/330px-%D8%A3%D8%B6%D8%B1%D8%AD%D8%A9_%D8%A7%D9%84%D8%B1%D8%AC%D8%A7%D9%84_%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D8%A9_%D8%A8%D9%85%D8%B1%D8%A7%D9%83%D8%B4.jpg,https://en.wikipedia.org/wiki/Seven_Saints_of_Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
Shrob ou Shouf Fountain,musée,Marrakech,"The Shrob ou Shouf Fountain or Chrob ou Chouf Fountain is a historic wall fountain in the medina of Marrakech, Morocco. It dates from the late 16th or early 17th century and is located near the Ben Youssef Madrasa.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Chrob_ou_chouf_fountain.jpg/330px-Chrob_ou_chouf_fountain.jpg,https://en.wikipedia.org/wiki/Shrob_ou_Shouf_Fountain,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
Ben Youssef Madrasa,musée,Marrakech,"The Ben Youssef Madrasa is an Islamic madrasa (college) in Marrakesh, Morocco. The madrasa is named after the adjacent Ben Youssef Mosque, and was commissioned in 1564–65 CE by the Saadian sultan Abdallah al-Ghalib. Functioning today as a historical site, the Ben Youssef Madrasa was the largest Islamic college in the Maghreb at its height, and is widely recognized as a pinnacle of Saadian and Moroccan architecture.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Coranic_School_%28106589859%29.jpeg/330px-Coranic_School_%28106589859%29.jpeg,https://en.wikipedia.org/wiki/Ben_Youssef_Madrasa,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
Mouassine Fountain,musée,Marrakech,"The Mouassine Fountain is a part of the 16th-century religious complex of the Mouassine Mosque in Marrakesh, Morocco. The tradition of building public fountains in Marrakesh is old but took on a very monumental character in the Saadian era.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Fontaine_Mouassine_%C3%A0_Marrakech.jpg/330px-Fontaine_Mouassine_%C3%A0_Marrakech.jpg,https://en.wikipedia.org/wiki/Mouassine_Fountain,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
Marrakech Museum,musée,Marrakech,"The Museum of Marrakech is a historic palace and museum located in the old center of Marrakesh, Morocco. In addition to its notable architecture, the museum's collection showcases various historic art objects and contemporary art from Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Courtyard_with_Chandelier_and_Fountain_%285038922480%29.jpg/330px-Courtyard_with_Chandelier_and_Fountain_%285038922480%29.jpg,https://en.wikipedia.org/wiki/Marrakech_Museum,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
KAC Marrakech,musée,Marrakech,Kawkab Athletic Club of Marrakesh is a Moroccan professional football club based in Marrakesh. The club was founded on 20 September 1947 by Hadj Idriss Talbi.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Kawkab_Marrakech_logo.png/330px-Kawkab_Marrakech_logo.png,https://en.wikipedia.org/wiki/KAC_Marrakech,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
Mausoleum of Sidi Harazem,musée,Fès,"The Mausoleum of Sidi Harazem or Marabout of Sidi Harazem is a funerary monument and shrine in Fez, Morocco. It is located in the Bab Ftouh Cemetery, one of the city's largest historic cemeteries. It contains the tomb of Sidi 'Ali ibn Harazem, a 12th-century Sufi mystic who died in 1164–65.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/20230912_11h3793Em_Sidi_Harazem_%2853249909374%29.jpg/330px-20230912_11h3793Em_Sidi_Harazem_%2853249909374%29.jpg,https://en.wikipedia.org/wiki/Mausoleum_of_Sidi_Harazem,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
"Fez, Morocco",musée,Fès,"Fes or Fez is a city in northern inland Morocco and the capital of the Fez-Meknes administrative region. It is one of the largest cities in Morocco, with a population of 1.256 million, according to the 2024 census. Located to the northwest of the Atlas Mountains, it is surrounded by hills and the old city is centered around the Fez River flowing from west to east. Fez has been called the ""Mecca of the West"" and the ""Athens of Africa"". It is also considered the spiritual and cultural capital of Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg,https://en.wikipedia.org/wiki/Fez%2C_Morocco,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
Dar Batha,musée,Fès,"Dar Batḥa, or Qasr al-Batḥa, is a former royal palace and present-day museum in the city of Fez, Morocco. The palace was commissioned by the Alaouite Sultan Hassan I in the late 19th century and finished under his successor Abdelaziz. It was converted into a museum of historical arts and crafts in 1915 with a collection that now comprises over 6,500 objects. The palace is located near Bab Bou Jeloud at the western edge of Fes el-Bali, the old medina quarter of the city, and close to Fes el-Jdid, the new medina quarter. It is adjacent to the Dar el-Beida palace located to its southeast, which was originally part of the same complex.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Dar_Batha_DSCF2861.jpg/330px-Dar_Batha_DSCF2861.jpg,https://en.wikipedia.org/wiki/Dar_Batha,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
Fes el Bali,musée,Fès,"Fes el Bali is the oldest part of Fez, Morocco. It is one of the three main districts of Fez, along with Fes Jdid and the French-created Ville Nouvelle. Together with Fes Jdid, it forms the medina of Fez, significant for the preservation of its pre-modern urban layout and numerous historic monuments, which have earned it UNESCO World Heritage Site status.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Fes_Bab_Bou_Jeloud_2011.jpg/330px-Fes_Bab_Bou_Jeloud_2011.jpg,https://en.wikipedia.org/wiki/Fes_el_Bali,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
Funduq al-Tetwaniyyin,musée,Fès,"Funduq al-Tetwaniyyin, also known as Funduq al-Staouniyine, is a historic funduq (caravanserai) in Fes el-Bali, the old city of Fes, Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Funduq_Stawniyin_DSCF3023.jpg/320px-Funduq_Stawniyin_DSCF3023.jpg,https://en.wikipedia.org/wiki/Funduq_al-Tetwaniyyin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
Marinid Tombs,musée,Fès,"The Marinid Tombs or Merenid Tombs are a set of ruined monumental tombs on a hill above and north of Fes al-Bali, the old city of Fez, Morocco. They were originally a royal necropolis for the Marinid dynasty which ruled over Morocco in the 13th to 15th centuries. Today, they are a popular lookout point over the historic city.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Marinid_Tombs_in_April_2016_1.jpg/330px-Marinid_Tombs_in_April_2016_1.jpg,https://en.wikipedia.org/wiki/Marinid_Tombs,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
Funduq al-Najjarin,musée,Fès,"Funduq al-Najjarin is a historic funduq in Fes el Bali, the old medina quarter in the city of Fez, Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Fes_-_Fondouk_el-Nejjarine.jpg/320px-Fes_-_Fondouk_el-Nejjarine.jpg,https://en.wikipedia.org/wiki/Funduq_al-Najjarin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
Bou Jeloud Mosque,musée,Fès,"The Bou Jeloud Mosque is a historic Almohad-era mosque in the former Kasbah of Bou Jeloud, located near Bab Bou Jeloud, in Fes, Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Bou_Jeloud_mosque3.jpg/330px-Bou_Jeloud_mosque3.jpg,https://en.wikipedia.org/wiki/Bou_Jeloud_Mosque,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
Funduq Sagha,musée,Fès,"Funduq Sagha is a historic funduq in Fes el Bali, the old medina quarter in the city of Fez, Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Funduq_Sagha_DSCF3693.jpg/320px-Funduq_Sagha_DSCF3693.jpg,https://en.wikipedia.org/wiki/Funduq_Sagha,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
Meknes,musée,Meknès,"Meknes is one of the four Imperial cities of Morocco, located in northern central Morocco and the sixth largest city by population in the kingdom. Founded in the 11th century by the Almoravids as a military settlement, Meknes became the capital of Morocco during the reign of Sultan Ismail Ibn Sharif (1672–1727), son of the founder of the Alaouite dynasty. Sultan Ismail created a massive imperial palace complex and endowed the city with extensive fortifications and monumental gates. The city recorded a population of 632,079 in the 2014 Moroccan census. It is the seat of Meknès Prefecture and an important economic hub in the region of Fès-Meknès.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg/330px-Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg,https://en.wikipedia.org/wiki/Meknes,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg/330px-Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg
